party,seats,votes,percentage
N-VA,25,1086787,"16,03 %"
VLAAMS BELANG,18,810177,"11,95 %"
PS,20,641623,"9,46 %"
CD&V,12,602520,"8,89 %"
PVDA,12,584621,"8,62 %"
open vld,12,579334,"8,54 %"
MR,14,512825,"7,56 %"
SP.A,9,455034,"6,71 %"
ECOLO,13,416452,"6,14 %"
GROEN,8,413836,"6,10 %"
CDH,5,250861,"3,70 %"
DéFI,2,150394,"2,22 %"
Parti Populaire,,75096,"1,11 %"
DierAnimal,,47733,"0,70 %"
LISTES DESTEXHE,,42712,"0,63 %"
COLLECTIF CITOYEN,,21092,"0,31 %"
LA DROITE,,15075,"0,22 %"
NATION,,10583,"0,16 %"
LES BELGES D'ABORD,,10463,"0,15 %"
AGIR,,7598,"0,11 %"
Piratenpartij,,7521,"0,11 %"
D-SA,,5949,"0,09 %"
Lutte Ouvrière,,5735,"0,08 %"
PRO,,5682,"0,08 %"
WALLONIE INSOUMISE,,5354,"0,08 %"
BUB Belgische Unie,,4513,"0,07 %"
PV&S,,3217,"0,05 %"
B.U.B,,2098,"0,03 %"
de coöperatie,,1732,"0,03 %"
Volt,,1669,"0,02 %"
PCB,,1626,"0,02 %"
Turquoise,,626,"0,01 %"
